,0,1,2
0,fox,trump,-0.005091324315253975
1,fox,clinton,0.11759555194913551
2,fox,sanders,0.17573252922706684
3,fox,liberal,0.008665254234890491
4,fox,conservative,0.12540223784015203
5,fox,men,-0.09009792708153704
6,fox,women,0.2363760699151585
7,flynn,trump,0.030920710723649453
8,flynn,clinton,-0.20109962245789323
9,flynn,sanders,0.00805706876118746
10,flynn,liberal,0.038309133263158435
11,flynn,conservative,-0.11354954829745796
12,flynn,men,-0.1821005199669495
13,flynn,women,0.053749685197339275
14,manafort,trump,0.06038935100370981
15,manafort,clinton,0.010911710963516022
16,manafort,sanders,-0.09333000912172285
17,manafort,liberal,0.03487184318237944
18,manafort,conservative,0.11998629291534595
19,manafort,men,-0.1998512471560908
20,manafort,women,0.16236424935030677
21,god,trump,-0.06534556673180875
22,god,clinton,0.11258272120036616
23,god,sanders,0.14748101233246327
24,god,liberal,0.00862858864876312
25,god,conservative,0.12079680836801064
26,god,men,-0.07149511825675908
27,god,women,0.06018114650088178
28,prison,trump,0.037044677416142896
29,prison,clinton,0.098470106095431
30,prison,sanders,0.002042275397187199
31,prison,liberal,-0.07312368724525817
32,prison,conservative,-0.06148502997814442
33,prison,men,0.09364044990229847
34,prison,women,0.10539045722447678
35,email,trump,0.15732826638994069
36,email,clinton,0.06684480411211023
37,email,sanders,0.2048427905022647
38,email,liberal,0.11394639843581772
39,email,conservative,0.04864085804679766
40,email,men,-0.03284645631397081
41,email,women,-0.09802695474441343
42,corrupt,trump,-0.02968389335558046
43,corrupt,clinton,0.08599987268018972
44,corrupt,sanders,-0.30451781450489324
45,corrupt,liberal,0.16028821963016315
46,corrupt,conservative,0.09533116243443722
47,corrupt,men,0.02675199381500128
48,corrupt,women,-0.0031796225066123784
49,good,trump,0.2945395993975027
50,good,clinton,0.20316321128755285
51,good,sanders,0.20795372270406667
52,good,liberal,0.18060788246459314
53,good,conservative,0.029279320641081377
54,good,men,-0.09056459427730933
55,good,women,-0.0351991121709514
56,smart,trump,0.04729942062050128
57,smart,clinton,-0.09994734107507992
58,smart,sanders,0.05275251428595864
59,smart,liberal,0.03332195479798967
60,smart,conservative,0.02677953832729531
61,smart,men,-0.02372436775131227
62,smart,women,0.047641895850730955
63,assault,trump,0.17795835904754143
64,assault,clinton,-0.05517157378622997
65,assault,sanders,0.1765298367571527
66,assault,liberal,-0.13184519659247732
67,assault,conservative,0.0013620816315932233
68,assault,men,0.0595187088949932
69,assault,women,-0.09818499197660459
70,honest,trump,0.02757521456565969
71,honest,clinton,-0.08292306894812464
72,honest,sanders,0.23005259265244704
73,honest,liberal,-0.23579055374099736
74,honest,conservative,0.15061737046423138
75,honest,men,-0.009127983832315764
76,honest,women,0.08869267782114781
77,president,trump,0.4576729985113024
78,president,clinton,0.06098923401706826
79,president,sanders,0.21297926747544163
80,president,liberal,0.21245151898753936
81,president,conservative,0.09169895705538415
82,president,men,-0.034343959234516976
83,president,women,-0.044170666143756566
